height,block_counts
0,4
1,8
2,6
3,9
4,3
5,6
6,7
7,10
8,1
9,5
10,7
11,4
12,4
13,4
14,5
15,8
16,7
17,3
18,5
19,10
20,1
21,6
22,9
23,2
24,3
25,6
26,1
27,2
28,6
29,3
30,6
31,5
32,5
33,6
34,6
35,5
36,8
37,5
38,5
39,4
40,7
41,3
42,6
43,5
44,6
45,3
46,3
47,2
48,5
49,9
50,7
51,1
52,6
53,6
54,6
55,4
56,1
57,3
58,4
59,5
60,9
61,4
62,5
63,3
64,7
65,10
66,4
67,4
68,4
69,7
70,10
71,10
72,5
73,7
74,5
75,4
76,11
77,6
78,11
79,10
80,7
81,8
82,7
83,9
84,7
85,5
86,3
87,4
88,7
89,5
90,9
91,1
92,9
93,6
94,7
95,8
96,3
97,3
98,3
99,4
100,5
101,6
102,3
103,1
104,4
105,5
106,6
107,2
108,1
109,5
110,2
111,4
112,6
113,4
114,4
115,4
116,3
117,5
118,3
119,7
120,9
121,4
122,7
123,5
124,5
125,4
126,4
127,1
128,5
129,3
130,3
131,4
132,5
133,7
134,1
135,4
136,5
137,4
138,5
139,4
140,9
141,3
142,8
143,1
144,6
145,3
146,7
147,4
148,3
149,4
150,3
151,3
152,7
153,7
154,1
155,8
156,4
157,4
158,5
159,8
160,3
161,6
162,3
163,3
164,4
165,3
166,6
167,1
168,2
169,3
170,8
171,4
172,2
173,3
174,4
175,4
176,4
177,3
178,2
179,5
180,3
181,5
182,3
183,4
184,4
185,2
186,5
187,6
188,8
189,6
190,7
191,6
192,9
193,10
194,6
195,5
196,8
197,3
198,8
199,3
200,5
201,5
202,3
203,5
204,6
205,7
206,4
207,3
208,4
209,5
210,7
211,7
212,5
213,7
214,3
215,6
216,7
217,4
218,6
219,3
220,7
221,7
222,5
223,1
224,2
225,2
226,3
227,3
228,2
229,7
230,4
231,6
232,8
233,8
234,6
235,3
236,3
237,4
238,4
239,7
240,8
241,5
242,4
243,8
244,4
245,5
246,5
247,3
248,5
249,12
250,0
251,5
252,4
253,4
254,4
255,2
256,5
257,8
258,10
259,5
260,6
261,8
262,5
263,6
264,5
265,3
266,8
267,7
268,4
269,5
270,4
271,14
272,5
273,1
274,6
275,7
276,2
277,9
278,2
279,6
280,6
281,4
282,3
283,6
284,4
285,4
286,4
287,3
288,0
289,7
290,2
291,8
292,6
293,4
294,2
295,7
296,6
297,3
298,1
299,1
300,4
301,6
302,4
303,6
304,5
305,7
306,2
307,10
308,2
309,5
310,7
311,3
312,5
313,2
314,5
315,2
316,5
317,11
318,6
319,7
320,6
321,5
322,5
323,0
324,5
325,1
326,5
327,8
328,5
329,11
330,3
331,4
332,6
333,5
334,5
335,4
336,4
337,4
338,11
339,4
340,7
341,6
342,8
343,6
344,3
345,5
346,2
347,5
348,5
349,6
350,4
351,2
352,4
353,2
354,5
355,7
356,6
357,4
358,6
359,3
360,5
361,5
362,2
363,8
364,3
365,9
366,1
367,3
368,7
369,9
370,6
371,6
372,6
373,2
374,5
375,5
376,8
377,7
378,5
379,4
380,3
381,4
382,6
383,3
384,8
385,6
386,4
387,7
388,6
389,6
390,5
391,4
392,6
393,6
394,6
395,9
396,5
397,5
398,7
399,3
400,6
401,8
402,7
403,6
404,5
405,9
406,2
407,5
408,5
409,3
410,3
411,4
412,10
413,5
414,5
415,4
416,8
417,9
418,9
419,9
420,6
421,6
422,10
423,5
424,3
425,3
426,6
427,9
428,3
429,2
430,7
431,6
432,6
433,5
434,6
435,2
436,6
437,6
438,3
439,6
440,2
441,4
442,3
443,3
444,5
445,7
446,1
447,4
448,4
449,6
450,3
451,7
452,6
453,5
454,5
455,9
456,5
457,8
458,10
459,9
460,1
461,5
462,4
463,4
464,5
465,5
466,7
467,2
468,3
469,9
470,6
471,6
472,6
473,3
474,4
475,6
476,4
477,5
478,10
479,5
480,9
481,3
482,5
483,4
484,4
485,3
486,3
487,4
488,3
489,8
490,5
491,2
492,3
493,8
494,8
495,10
496,6
497,8
498,7
499,3
500,4
501,9
502,7
503,3
504,7
505,7
506,3
507,5
508,5
509,5
510,2
511,5
512,4
513,3
514,2
515,7
516,5
517,4
518,2
519,8
520,4
521,7
522,4
523,3
524,7
525,3
526,5
527,4
528,3
529,5
530,5
531,5
532,4
533,3
534,6
535,2
536,3
537,4
538,4
539,7
540,3
541,2
542,9
543,5
544,4
545,7
546,7
547,6
548,3
549,4
550,5
551,8
552,5
553,4
554,4
555,7
556,5
557,8
558,1
559,6
560,2
561,5
562,2
563,8
564,5
565,3
566,6
567,0
568,5
569,7
570,4
571,3
572,5
573,9
574,2
575,4
576,3
577,3
578,5
579,5
580,6
581,3
582,5
583,2
584,8
585,3
586,4
587,10
588,4
589,2
590,5
591,5
592,2
593,3
594,6
595,6
596,3
597,4
598,6
599,4
600,8
601,3
602,4
603,3
604,7
605,4
606,5
607,4
608,4
609,8
610,6
611,6
612,2
613,1
614,5
615,6
616,7
617,0
618,5
619,6
620,5
621,6
622,7
623,8
624,3
625,2
626,2
627,5
628,5
629,5
630,3
631,8
632,4
633,3
634,8
635,6
636,7
637,10
638,3
639,3
640,13
641,4
642,7
643,5
644,3
645,6
646,4
647,3
648,4
649,8
650,6
651,2
652,8
653,2
654,6
655,0
656,6
657,2
658,4
659,1
660,4
661,2
662,6
663,8
664,3
665,5
666,7
667,3
668,5
669,2
670,4
671,6
672,5
673,2
674,5
675,5
676,8
677,7
678,8
679,3
680,7
681,3
682,5
683,4
684,2
685,6
686,2
687,3
688,7
689,5
690,5
691,4
692,2
693,3
694,4
695,7
696,3
697,4
698,4
699,5
700,2
701,4
702,7
703,2
704,4
705,9
706,4
707,4
708,2
709,6
710,4
711,7
712,1
713,5
714,6
715,2
716,3
717,7
718,0
719,3
720,5
721,4
722,4
723,5
724,5
725,6
726,6
727,5
728,3
729,6
730,6
731,3
732,3
733,5
734,6
735,6
736,5
737,5
738,3
739,4
740,4
741,8
742,9
743,5
744,2
745,4
746,0
747,3
748,6
749,5
750,5
751,4
752,3
753,6
754,4
755,6
756,3
757,7
758,8
759,4
760,8
761,5
762,6
763,5
764,8
765,7
766,3
767,3
768,9
769,4
770,5
771,5
772,1
773,5
774,4
775,1
776,9
777,8
778,6
779,3
780,8
781,8
782,4
783,9
784,3
785,1
786,4
787,3
788,7
789,9
790,6
791,6
792,8
793,7
794,10
795,7
796,2
797,5
798,2
799,3
800,3
801,2
802,7
803,7
804,4
805,7
806,5
807,3
808,8
809,5
810,11
811,7
812,10
813,6
814,2
815,6
816,2
817,6
818,6
819,5
820,6
821,4
822,1
823,3
824,5
825,5
826,3
827,2
828,2
829,4
830,4
831,8
832,2
833,3
834,2
835,5
836,4
837,11
838,10
839,10
840,6
841,7
842,5
843,5
844,5
845,5
846,5
847,8
848,4
849,10
850,6
851,6
852,5
853,7
854,5
855,4
856,4
857,2
858,4
859,5
860,3
861,9
862,3
863,3
864,5
865,1
866,6
867,5
868,1
869,8
870,10
871,5
872,4
873,6
874,5
875,3
876,7
877,4
878,4
879,1
880,1
881,7
882,5
883,3
884,4
885,6
886,9
887,1
888,4
889,6
890,3
891,3
892,6
893,8
894,4
895,7
896,7
897,5
898,2
899,5
900,6
901,5
902,3
903,10
904,8
905,7
906,14
907,6
908,4
909,5
910,3
911,2
912,3
913,4
914,9
915,1
916,6
917,4
918,8
919,4
920,5
921,6
922,7
923,4
924,4
925,3
926,7
927,4
928,7
929,3
930,6
931,7
932,4
933,6
934,4
935,4
936,1
937,6
938,4
939,3
940,8
941,7
942,6
943,5
944,4
945,5
946,4
947,4
948,7
949,2
950,5
951,4
952,8
953,9
954,4
955,6
956,8
957,2
958,4
959,3
960,4
961,3
962,6
963,8
964,5
965,3
966,7
967,4
968,7
969,4
970,9
971,3
972,4
973,3
974,5
975,8
976,2
977,2
978,8
979,4
980,5
981,1
982,5
983,3
984,4
985,4
986,2
987,8
988,2
989,11
990,5
991,3
992,6
993,5
994,3
995,7
996,8
997,4
998,1
999,5
1000,6
1001,10
1002,7
1003,5
1004,7
1005,3
1006,5
1007,6
1008,2
1009,4
1010,1
1011,7
1012,4
1013,7
1014,7
1015,7
1016,5
1017,5
1018,6
1019,6
1020,5
1021,6
1022,7
1023,5
1024,3
1025,7
1026,8
1027,6
1028,5
1029,1
1030,6
1031,9
1032,6
1033,4
1034,9
1035,7
1036,6
1037,3
1038,4
1039,6
1040,5
1041,5
1042,8
1043,4
1044,6
1045,7
1046,3
1047,7
1048,2
1049,2
1050,7
1051,4
1052,3
1053,4
1054,4
1055,6
1056,4
1057,3
1058,4
1059,6
1060,4
1061,4
1062,9
1063,4
1064,6
1065,5
1066,5
1067,4
1068,12
1069,1
1070,2
1071,6
1072,3
1073,3
1074,5
1075,10
1076,6
1077,3
1078,7
1079,6
1080,8
1081,5
1082,7
1083,4
1084,6
1085,6
1086,6
1087,1
1088,5
1089,4
1090,4
1091,1
1092,5
1093,9
1094,4
1095,5
1096,6
1097,3
1098,4
1099,1
1100,2
1101,7
1102,5
1103,4
1104,1
1105,4
1106,4
1107,5
1108,7
1109,4
1110,3
1111,4
1112,4
1113,6
1114,6
1115,10
1116,5
1117,6
1118,4
1119,4
1120,2
1121,7
1122,3
1123,6
1124,5
1125,6
1126,5
1127,4
1128,2
1129,4
1130,3
1131,3
1132,5
1133,0
1134,2
1135,6
1136,6
1137,3
1138,5
1139,3
1140,5
1141,2
1142,4
1143,8
1144,5
1145,10
1146,4
1147,4
1148,10
1149,2
1150,9
1151,4
1152,8
1153,3
1154,6
1155,3
1156,2
1157,10
1158,4
1159,5
1160,3
1161,5
1162,8
1163,5
1164,4
1165,5
1166,5
1167,9
1168,7
1169,4
1170,3
1171,2
1172,7
1173,6
1174,9
1175,4
1176,6
1177,2
1178,4
1179,9
1180,9
1181,4
1182,3
1183,4
1184,6
1185,3
1186,5
1187,8
1188,6
1189,5
1190,8
1191,4
1192,6
1193,3
1194,5
1195,5
1196,5
1197,6
1198,4
1199,3
1200,4
1201,2
1202,6
1203,3
1204,3
1205,5
1206,3
1207,3
1208,8
1209,4
1210,3
1211,3
1212,7
1213,4
1214,3
1215,8
1216,6
1217,5
1218,6
1219,7
1220,8
1221,1
1222,4
1223,7
1224,7
1225,6
1226,7
1227,6
1228,1
1229,4
1230,5
1231,2
1232,4
1233,4
1234,7
1235,7
1236,3
1237,6
1238,6
1239,5
1240,4
1241,3
1242,3
1243,6
1244,3
1245,4
1246,4
1247,5
1248,8
1249,3
1250,5
1251,7
1252,2
1253,7
1254,2
1255,5
1256,7
1257,6
1258,4
1259,5
1260,2
1261,6
1262,5
1263,3
1264,1
1265,5
1266,10
1267,5
1268,1
1269,4
1270,4
1271,2
1272,5
1273,7
1274,10
1275,3
1276,4
1277,6
1278,6
1279,5
1280,5
1281,5
1282,4
1283,5
1284,4
1285,3
1286,6
1287,3
1288,6
1289,7
1290,8
1291,3
1292,5
1293,4
1294,2
1295,9
1296,3
1297,4
1298,2
1299,3
1300,7
1301,6
1302,8
1303,8
1304,6
1305,6
1306,6
1307,4
1308,3
1309,5
1310,3
1311,11
1312,4
1313,4
1314,4
1315,3
1316,3
1317,6
1318,3
1319,11
1320,1
1321,9
1322,6
1323,6
1324,3
1325,1
1326,2
1327,3
1328,8
1329,5
1330,5
1331,5
1332,7
1333,6
1334,6
1335,3
1336,3
1337,4
1338,4
1339,7
1340,5
1341,5
1342,5
1343,3
1344,5
1345,6
1346,7
1347,5
1348,6
1349,1
1350,4
1351,9
1352,2
1353,8
1354,6
1355,6
1356,5
1357,4
1358,6
1359,2
1360,5
1361,10
1362,3
1363,8
1364,6
1365,5
1366,4
1367,2
1368,5
1369,6
1370,8
1371,5
1372,3
1373,8
1374,3
1375,4
1376,3
1377,5
1378,7
1379,4
1380,7
1381,6
1382,4
1383,7
1384,6
1385,4
1386,3
1387,5
1388,7
1389,1
1390,3
1391,6
1392,8
1393,6
1394,5
1395,7
1396,4
1397,3
1398,2
1399,3
1400,7
1401,7
1402,3
1403,4
1404,3
1405,6
1406,1
1407,6
1408,6
1409,5
1410,5
1411,8
1412,5
1413,0
1414,7
1415,7
1416,4
1417,2
1418,9
1419,6
1420,4
1421,6
1422,4
1423,4
1424,8
1425,5
1426,6
1427,1
1428,6
1429,7
1430,8
1431,9
1432,4
1433,4
1434,6
1435,5
1436,5
1437,3
1438,6
1439,2
1440,3
1441,3
1442,8
1443,7
1444,8
1445,3
1446,4
1447,5
