height,block_counts
0,0
1,4
2,3
3,3
4,5
5,1
6,3
7,3
8,6
9,6
10,7
11,3
12,4
13,7
14,3
15,5
16,3
17,4
18,4
19,3
20,4
21,0
22,2
23,2
24,6
25,7
26,1
27,4
28,4
29,2
30,7
31,9
32,5
33,1
34,4
35,6
36,5
37,3
38,3
39,6
40,2
41,6
42,1
43,6
44,4
45,3
46,2
47,7
48,2
49,8
50,2
51,1
52,3
53,3
54,2
55,5
56,6
57,5
58,3
59,3
60,4
61,5
62,5
63,0
64,1
65,2
66,3
67,3
68,7
69,5
70,0
71,6
72,4
73,2
74,6
75,4
76,3
77,3
78,5
79,6
80,4
81,3
82,5
83,6
84,0
85,3
86,6
87,4
88,2
89,1
90,6
91,3
92,6
93,5
94,7
95,4
96,1
97,0
98,9
99,4
100,4
101,4
102,4
103,2
104,6
105,5
106,3
107,2
108,4
109,5
110,4
111,5
112,2
113,8
114,1
115,4
116,4
117,0
118,5
119,3
120,10
121,5
122,2
123,3
124,2
125,2
126,5
127,3
128,3
129,8
130,4
131,3
132,6
133,2
134,3
135,2
136,2
137,3
138,0
139,5
140,5
141,5
142,2
143,3
144,2
145,5
146,3
147,1
148,4
149,3
150,2
151,2
152,3
153,3
154,5
155,4
156,1
157,7
158,3
159,4
160,3
161,2
162,3
163,4
164,5
165,2
166,2
167,3
168,2
169,3
170,4
171,4
172,1
173,6
174,8
175,4
176,3
177,2
178,3
179,2
180,4
181,5
182,6
183,2
184,7
185,5
186,3
187,11
188,2
189,3
190,4
191,0
192,5
193,2
194,4
195,1
196,2
197,8
198,8
199,1
200,5
201,5
202,5
203,2
204,4
205,2
206,3
207,2
208,5
209,7
210,5
211,10
212,1
213,5
214,2
215,2
216,5
217,4
218,3
219,0
220,4
221,2
222,5
223,4
224,6
225,2
226,2
227,5
228,2
229,2
230,4
231,3
232,5
233,6
234,5
235,2
236,6
237,5
238,5
239,4
240,3
241,3
242,3
243,7
244,5
245,3
246,2
247,2
248,0
249,2
250,6
251,3
252,1
253,1
254,5
255,1
256,3
257,4
258,0
259,2
260,4
261,8
262,6
263,6
264,4
265,2
266,3
267,3
268,6
269,3
270,1
271,7
272,2
273,9
274,2
275,7
276,6
277,2
278,6
279,3
280,2
281,5
282,4
283,6
284,6
285,3
286,5
287,3
288,1
289,5
290,5
291,5
292,4
293,2
294,2
295,4
296,2
297,5
298,2
299,2
300,4
301,5
302,1
303,6
304,5
305,1
306,6
307,5
308,4
309,4
310,6
311,6
312,4
313,6
314,1
315,5
316,4
317,4
318,5
319,4
320,5
321,4
322,5
323,3
324,2
325,5
326,2
327,4
328,3
329,5
330,4
331,6
332,2
333,0
334,10
335,2
336,3
337,0
338,2
339,2
340,2
341,2
342,3
343,1
344,6
345,1
346,4
347,4
348,4
349,3
350,3
351,5
352,7
353,7
354,2
355,4
356,6
357,7
358,6
359,4
360,2
361,2
362,2
363,5
364,3
365,3
366,3
367,6
368,4
369,4
370,8
371,5
372,4
373,3
374,6
375,3
376,9
377,2
378,6
379,6
380,7
381,1
382,1
383,4
384,7
385,4
386,4
387,1
388,6
389,8
390,4
391,8
392,1
393,2
394,1
395,3
396,4
397,3
398,5
399,3
400,6
401,7
402,5
403,6
404,4
405,1
406,7
407,6
408,2
409,4
410,7
411,2
412,4
413,3
414,7
415,2
416,2
417,2
418,1
419,6
420,7
421,4
422,3
423,3
424,3
425,9
426,2
427,9
428,5
429,4
430,2
431,3
432,6
433,4
434,2
435,9
436,4
437,4
438,2
439,3
440,2
441,6
442,8
443,9
444,2
445,6
446,2
447,2
448,4
449,4
450,3
451,3
452,5
453,5
454,3
455,2
456,2
457,4
458,5
459,7
460,2
461,3
462,7
463,7
464,7
465,1
466,2
467,3
468,7
469,4
470,0
471,3
472,0
473,6
474,0
475,4
476,5
477,3
478,6
479,1
480,1
481,5
482,4
483,4
484,4
485,2
486,1
487,2
488,6
489,1
490,1
491,6
492,3
493,2
494,3
495,2
496,2
497,2
498,2
499,5
500,1
501,4
502,2
503,1
504,12
505,5
506,3
507,4
508,0
509,3
510,5
511,4
512,4
513,2
514,4
515,2
516,4
517,4
518,3
519,1
520,4
521,6
522,7
523,4
524,4
525,3
526,4
527,3
528,8
529,3
530,4
531,4
532,3
533,4
534,4
535,4
536,3
537,4
538,6
539,5
540,3
541,1
542,6
543,3
544,7
545,4
546,6
547,3
548,6
549,5
550,6
551,6
552,1
553,2
554,8
555,2
556,3
557,2
558,6
559,2
560,5
561,3
562,4
563,2
564,7
565,3
566,5
567,5
568,7
569,3
570,3
571,7
572,4
573,3
574,3
575,4
576,4
577,2
578,2
579,3
580,5
581,7
582,5
583,2
584,4
585,5
586,6
587,2
588,0
589,6
590,5
591,5
592,3
593,2
594,6
595,4
596,3
597,4
598,3
599,2
600,6
601,9
602,4
603,4
604,8
605,4
