height,block_counts
0,8
1,6
2,0
3,3
4,5
5,5
6,5
7,4
8,8
9,1
10,2
11,5
12,2
13,4
14,6
15,3
16,6
17,7
18,6
19,4
20,4
21,3
22,5
23,3
24,6
25,10
26,7
27,5
28,9
29,4
30,5
31,3
32,6
33,2
34,3
35,10
36,4
37,3
38,1
39,5
40,6
41,6
42,5
43,2
44,7
45,1
46,5
47,7
48,5
49,3
50,6
51,6
52,6
53,7
54,3
55,3
56,8
57,7
58,2
59,6
60,3
61,4
62,2
63,4
64,3
65,2
66,3
67,6
68,10
69,6
70,7
71,6
72,3
73,5
74,4
75,8
76,6
77,6
78,4
79,5
80,6
81,5
82,3
83,4
84,9
85,3
86,3
87,4
88,11
89,2
90,5
91,0
92,3
93,5
94,6
95,4
96,6
97,7
98,7
99,3
100,5
101,6
102,3
103,5
104,5
105,4
106,10
107,8
108,3
109,6
110,6
111,5
112,4
113,2
114,3
115,6
116,5
117,9
118,4
119,7
120,6
121,5
122,6
123,4
124,3
125,3
126,5
127,3
128,3
129,3
130,3
131,5
132,3
133,11
134,3
135,7
136,7
137,4
138,8
139,6
140,6
141,4
142,4
143,5
144,6
145,3
146,2
147,2
148,4
149,4
150,4
151,6
152,6
153,2
154,2
155,5
156,6
157,3
158,4
159,3
160,5
161,3
162,1
163,6
164,9
165,7
166,3
167,6
168,14
169,5
170,2
171,3
172,8
173,5
174,6
175,8
176,2
177,6
178,5
179,2
180,8
181,6
182,5
183,7
184,6
185,4
186,11
187,4
188,8
189,6
190,8
191,6
192,8
193,5
194,6
195,7
196,6
197,1
198,4
199,7
200,4
201,2
202,5
203,9
204,3
205,2
206,2
207,5
208,4
209,4
210,8
211,9
212,8
213,4
214,5
215,4
216,4
217,9
218,4
219,8
220,9
221,4
222,6
223,8
224,8
225,5
226,5
227,5
228,4
229,4
230,2
231,9
232,1
233,2
234,4
235,4
236,4
237,5
238,5
239,6
240,3
241,5
242,8
243,3
244,4
245,3
246,6
247,6
248,5
249,5
250,2
251,4
252,5
253,1
254,1
255,4
256,4
257,2
258,4
259,6
260,5
261,4
262,3
263,8
264,4
265,6
266,6
267,3
268,4
269,1
270,8
271,2
272,4
273,5
274,2
275,6
276,9
277,8
278,6
279,6
280,3
281,3
282,7
283,7
284,8
285,3
286,8
287,7
288,4
289,4
290,5
291,5
292,2
293,8
294,13
295,4
296,3
297,7
298,3
299,4
300,6
301,7
302,6
303,2
304,2
305,3
306,2
307,5
308,11
309,11
310,3
311,3
312,7
313,11
314,2
315,6
316,4
317,3
318,4
319,7
320,4
321,9
322,2
323,7
324,6
325,3
326,11
327,3
328,8
329,2
330,4
331,1
332,6
333,3
334,7
335,6
336,7
337,3
338,5
339,6
340,8
341,8
342,5
343,7
344,5
345,4
346,3
347,7
348,0
349,7
350,4
351,5
352,7
353,4
354,9
355,6
356,7
357,6
358,4
359,6
360,3
361,3
362,3
363,8
364,9
365,3
366,6
367,7
368,4
369,2
370,3
371,7
372,5
373,2
374,5
375,2
376,7
377,6
378,6
379,4
380,6
381,6
382,3
383,7
384,4
385,3
386,5
387,1
388,3
389,5
390,5
391,1
392,2
393,7
394,5
395,6
396,3
397,1
398,6
399,12
400,4
401,5
402,7
403,8
404,5
405,8
406,6
407,4
408,2
409,3
410,3
411,4
412,6
413,10
414,0
415,6
416,7
417,3
418,5
419,6
420,1
421,3
422,6
423,8
424,4
425,3
426,3
427,2
428,8
429,3
430,5
431,1
432,9
433,4
434,7
435,7
436,4
437,3
438,4
439,3
440,5
441,15
442,5
443,6
444,5
445,9
446,4
447,7
448,0
449,4
450,8
451,8
452,7
453,3
454,1
455,0
456,4
457,4
458,6
459,6
460,7
461,2
462,2
463,4
464,8
465,2
466,4
467,6
468,5
469,5
470,5
471,5
472,2
473,7
474,5
475,6
476,4
477,8
478,7
479,9
480,4
481,7
482,6
483,5
484,7
485,5
486,3
487,6
488,9
489,7
490,5
491,7
492,3
493,4
494,2
495,6
496,4
497,4
498,9
499,4
500,6
501,4
502,5
503,7
504,4
505,4
506,6
507,4
508,2
509,5
510,5
511,5
512,2
